Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,-0.046607804,0.0005881196,0.25481772,0.00029253453,0.1975115,0.0004878064,1.3857213,501.0,-0.009999999776482582,-0.009999999776482582,1.0
40000,0.01322592,0.0003367262,0.2538571,0.00028962002,0.19654001,0.000483046,1.3901821,None,-0.009999999776482582,-0.009999999776482582,1.0
50000,0.016624864,0.00022461338,0.25134858,0.000286548,0.19551602,0.00047802838,1.3870757,None,None,None,1.0
60000,0.032763224,0.0002672648,0.24604714,0.0002835002,0.19450006,0.0004730503,1.4025013,497.31666666666666,-0.009999999776482582,-0.009999999776482582,1.0
70000,0.007075828,0.00016119024,0.25581986,0.00028061913,0.19353971,0.00046834454,1.4095008,None,-0.009999999776482582,-0.009999999776482582,1.0
80000,0.039256986,0.0057568136,0.2403416,0.00027739434,0.19246478,0.0004630774,1.4197252,300.75,0.24250000016763806,0.24250000016763806,1.0
90000,0.019831464,0.001331797,0.25314972,0.0002742804,0.19142681,0.00045799135,1.4384106,491.875,0.015000000629307968,0.015000000629307968,1.0
100000,0.10430857,0.018505557,0.24847324,0.0002714811,0.1904937,0.0004534192,1.4545277,164.0,0.24777778113881746,0.24777778113881746,1.0
110000,0.13051096,0.012811233,0.2476758,0.0002686059,0.18953528,0.00044872297,1.4805439,298.4193548387097,0.2993333355834087,0.2993333355834087,1.0
120000,0.061830465,0.0039193663,0.25649625,0.0002654061,0.18846868,0.0004434966,1.4953263,348.52272727272725,0.1062222237802214,0.1062222237802214,1.0
130000,0.0865572,0.006488827,0.25323144,0.00026257843,0.18752614,0.00043887802,1.5058801,200.73529411764707,0.29933333632846676,0.29933333632846676,1.0
140000,0.01962397,0.0033126369,0.24894089,0.00025948673,0.18649556,0.00043382827,1.5017692,256.57142857142856,0.12045454724945805,0.12045454724945805,1.0
150000,0.08680112,0.0070850933,0.2474152,0.00025645347,0.18548447,0.00042887393,1.5103469,250.97297297297297,0.1476923095014615,0.1476923095014615,1.0
160000,0.10354908,0.01268973,0.25051576,0.0002534007,0.1844669,0.00042388783,1.5066593,225.74137931034483,0.3209433986471509,0.3209433986471509,1.0
170000,0.10487717,0.007917011,0.24377728,0.00025037344,0.18345782,0.00041894327,1.5175043,148.484375,0.22246154145552563,0.22246154145552563,1.0
180000,0.06211153,0.01384547,0.24461876,0.00024750305,0.18250102,0.00041425496,1.5211291,172.29310344827587,0.22389830879361952,0.22389830879361952,1.0
190000,0.05879377,0.0111876875,0.24644601,0.0002445983,0.18153276,0.00040951054,1.5238907,148.43939393939394,0.28925373577582303,0.28925373577582303,1.0
200000,0.15570395,0.0148479305,0.24776202,0.00024162432,0.18054144,0.00040465302,1.5096613,149.14,0.3794117698117214,0.3794117698117214,1.0
210000,0.13728355,0.01001945,0.24849494,0.00023859588,0.17953193,0.00039970648,1.5230633,164.53731343283582,0.3055882404339226,0.3055882404339226,1.0
220000,0.17577827,0.013945727,0.24348931,0.00023557273,0.17852423,0.00039476872,1.5339558,142.64285714285714,0.38575000532437115,0.38575000532437115,1.0
230000,0.15634373,0.012957403,0.24831092,0.00023246431,0.17748809,0.00038969162,1.5375144,132.36363636363637,0.31092105702938216,0.31092105702938216,1.0
240000,0.1300043,0.012442567,0.2501999,0.0002294532,0.17648439,0.0003847735,1.514213,160.05263157894737,0.33868852877592454,0.33868852877592454,1.0
250000,0.14474612,0.010553039,0.2513627,0.0002265431,0.17551436,0.0003800203,1.4950653,135.18055555555554,0.46114286375897273,0.46114286375897273,1.0
260000,0.14608943,0.016718969,0.24925955,0.00022342519,0.17447504,0.0003749277,1.4787521,110.35135135135135,0.44236111886695856,0.44236111886695856,1.0
270000,0.17467906,0.017267415,0.2569905,0.00022044017,0.17348003,0.0003700522,1.4754541,120.55,0.403904769108409,0.403904769108409,1.0
280000,0.19198997,0.016275901,0.24849014,0.00021738755,0.17246251,0.00036506623,1.4807141,104.22641509433963,0.43349515288634205,0.43349515288634205,1.0
290000,0.22365884,0.01943191,0.24934341,0.00021445137,0.17148377,0.00036027047,1.4729694,69.56862745098039,0.4686274586756732,0.4686274586756732,1.0
300000,0.15719879,0.012136757,0.24740306,0.00021151842,0.1705061,0.00035547998,1.4625163,101.06930693069307,0.3480373898468842,0.3480373898468842,1.0
310000,0.141706,0.015800215,0.24568133,0.00020851383,0.1695046,0.00035057255,1.4595618,86.96774193548387,0.35175439277500437,0.35175439277500437,1.0
320000,0.22151433,0.024714926,0.24404825,0.00020543598,0.16847865,0.00034554536,1.4725664,77.08955223880596,0.47051471511504667,0.47051471511504667,1.0
330000,0.2632606,0.025474755,0.24776314,0.0002024765,0.16749217,0.00034071153,1.4820615,70.98360655737704,0.5012121294963766,0.5012121294963766,1.0
340000,0.25443625,0.025177158,0.24777073,0.00019960734,0.16653576,0.0003360252,1.4737332,75.44666666666667,0.4297278997849445,0.4297278997849445,1.0
350000,0.24728735,0.027632061,0.2436573,0.00019652888,0.1655096,0.00033099705,1.4561607,50.35403726708075,0.47251497941861254,0.47251497941861254,1.0
360000,0.25608915,0.03197834,0.24413732,0.00019360168,0.16453387,0.00032621596,1.4398981,57.52795031055901,0.4770253262235017,0.4770253262235017,1.0
370000,0.23732875,0.019518333,0.2491651,0.00019058323,0.16352774,0.00032128583,1.4355111,77.11111111111111,0.48613139651171916,0.48613139651171916,1.0
380000,0.34273788,0.026897954,0.24545814,0.00018748207,0.162494,0.00031622063,1.442565,63.0,0.5801307297999563,0.5801307297999563,1.0
390000,0.27983528,0.02796002,0.25375685,0.00018451682,0.16150558,0.00031137737,1.4498205,64.64285714285714,0.5569014186957773,0.5569014186957773,1.0
400000,0.38657734,0.024185477,0.24734765,0.00018160456,0.16053484,0.0003066207,1.4486864,70.94545454545455,0.6120833454077088,0.6120833454077088,1.0
410000,0.45314696,0.027419087,0.24443984,0.00017853899,0.15951297,0.00030161353,1.436924,56.38993710691824,0.7498734324840428,0.7498734324840428,1.0
420000,0.44466707,0.019549053,0.24354967,0.0001754866,0.15849552,0.00029662802,1.4337839,50.14375,0.7670063830342642,0.7670063830342642,1.0
430000,0.46757495,0.020866435,0.24438202,0.00017244606,0.15748201,0.00029166177,1.4293664,59.34355828220859,0.7717964227372658,0.7717964227372658,1.0
440000,0.49368784,0.022515196,0.245949,0.0001694723,0.15649074,0.00028680466,1.430433,60.74175824175824,0.7903370944615663,0.7903370944615663,1.0
450000,0.57096094,0.024545064,0.24456015,0.00016648252,0.15549417,0.00028192138,1.4364285,54.45410628019324,0.8038679400002057,0.8038679400002057,1.0
460000,0.5562922,0.030586544,0.2497361,0.000163549,0.15451632,0.00027712993,1.4403384,37.69037656903766,0.7876446432749594,0.7876446432749594,1.0
470000,0.5515963,0.03081191,0.24882142,0.00016039047,0.1534635,0.000271971,1.4346621,43.527522935779814,0.8448611279190691,0.8448611279190691,1.0
480000,0.60141283,0.02479006,0.24232522,0.00015743525,0.1524784,0.00026714415,1.4316323,41.8,0.8599565389606616,0.8599565389606616,1.0
490000,0.64857394,0.02871067,0.24844296,0.00015445698,0.15148562,0.00026227962,1.4341967,47.193548387096776,0.9035684827838819,0.9035684827838819,1.0
500000,0.77470374,0.020346554,0.24836862,0.0001513562,0.15045205,0.00025721497,1.4338692,29.435736677115987,0.9563551589649322,0.9563551589649322,1.0
510000,0.80215555,0.023760568,0.24143648,0.000148562,0.14952065,0.0002526511,1.429245,34.20060790273556,0.9722658798514986,0.9722658798514986,1.0
520000,0.88122535,0.025467088,0.25245377,0.0001452697,0.14842322,0.00024727374,1.4180139,23.721719457013574,1.0153006884064069,1.0153006884064069,1.0
530000,0.89035976,0.027460959,0.2509482,0.00014239152,0.14746383,0.00024257273,1.4190203,20.29045643153527,0.9892723689208159,0.9892723689208159,1.0
540000,0.8962383,0.035827808,0.24709456,0.00013940726,0.14646906,0.00023769839,1.4240577,18.328545780969478,0.9900894652325694,0.9900894652325694,1.0
550000,0.8876005,0.026531234,0.24806906,0.00013658252,0.14552748,0.00023308469,1.4245368,17.133466135458168,1.0204888188760053,1.0204888188760053,1.0
560000,0.91523075,0.01727862,0.24065277,0.0001334315,0.14447714,0.000227938,1.4186329,16.035225048923678,1.0496724685456653,1.0496724685456653,1.0
570000,0.9083568,0.023834936,0.24744613,0.00013062794,0.14354263,0.00022335887,1.4197236,17.381625441696112,1.0262832062829912,1.0262832062829912,1.0
580000,0.9335002,0.023603024,0.24113561,0.00012735937,0.1424531,0.00021802017,1.4219124,16.71473851030111,1.0387183754775626,1.0387183754775626,1.0
590000,0.9467592,0.020964354,0.24420148,0.00012437535,0.14145844,0.00021314631,1.4216797,15.27570093457944,1.0439969342673359,1.0439969342673359,1.0
600000,0.953383,0.019144623,0.24519403,0.00012150414,0.14050135,0.00020845668,1.4134488,13.477372262773722,1.0467836471486902,1.0467836471486902,1.0
610000,0.94934297,0.01744453,0.24738981,0.00011845696,0.13948563,0.00020347956,1.4070309,12.712592592592593,1.0576226067124557,1.0576226067124557,1.0
620000,0.9587205,0.016229387,0.24550936,0.00011547958,0.13849318,0.00019861653,1.4097401,13.532697547683924,1.04187160594226,1.04187160594226,1.0
630000,0.939206,0.030498222,0.24336602,0.000112489986,0.13749664,0.00019373353,1.4074361,11.75061425061425,1.0040170110273854,1.0040170110273854,1.0
640000,0.94326955,0.027451636,0.24718338,0.00010950614,0.13650201,0.00018885992,1.4046675,11.081185567010309,1.021175731149158,1.021175731149158,1.0
650000,0.9636636,0.019490177,0.2513177,0.00010647593,0.13549195,0.00018391057,1.4010929,12.2409793814433,1.0495378902715191,1.0495378902715191,1.0
660000,0.9477449,0.023751453,0.24556106,0.00010347209,0.13449068,0.0001790043,1.3901374,11.555555555555555,1.0377503641266554,1.0377503641266554,1.0
670000,0.9548662,0.01685644,0.24150191,0.000100502,0.13350065,0.00017415312,1.3834455,12.267185473411155,1.039654752637362,1.039654752637362,1.0
680000,0.93364394,0.021493351,0.2448215,9.751281e-05,0.13250425,0.00016927079,1.3917658,12.1268758526603,1.0320274184751388,1.0320274184751388,1.0
690000,0.9435652,0.018861035,0.24784243,9.450157e-05,0.13150051,0.00016435244,1.3860053,12.598944591029024,1.0321550800877473,1.0321550800877473,1.0
700000,0.9601115,0.012818483,0.23843491,9.1473994e-05,0.1304913,0.00015940741,1.3727933,12.806711409395973,1.060978573257598,1.060978573257598,1.0
710000,0.97780764,0.01906224,0.24295689,8.8481465e-05,0.1294938,0.0001545196,1.3610408,11.552631578947368,1.0547852240178317,1.0547852240178317,1.0
720000,0.97833794,0.01698108,0.24239834,8.550222e-05,0.12850071,0.0001496535,1.356266,10.906213364595546,1.0589071895563855,1.0589071895563855,1.0
730000,0.976077,0.011077911,0.24497171,8.2495135e-05,0.12749834,0.00014474192,1.3473258,10.75906432748538,1.057899671451318,1.057899671451318,1.0
740000,0.97268844,0.0175114,0.24744304,7.950817e-05,0.1265027,0.00013986323,1.346466,9.920091324200913,1.0521510508171448,1.0521510508171448,1.0
750000,0.977621,0.016465157,0.24549304,7.6477256e-05,0.12549238,0.00013491271,1.346084,11.113532110091743,1.0584228784974132,1.0584228784974132,1.0
760000,0.9853139,0.012995338,0.24850379,7.344896e-05,0.12448295,0.00012996649,1.3400127,10.304347826086957,1.0661503633522431,1.0661503633522431,1.0
770000,0.9796123,0.016060429,0.23890392,7.049901e-05,0.12349965,0.00012514825,1.3304385,10.451396648044692,1.062446710780079,1.062446710780079,1.0
780000,0.98169637,0.012079317,0.24470538,6.747966e-05,0.12249319,0.00012021664,1.3206676,9.783845278725824,1.0634576487149727,1.0634576487149727,1.0
790000,0.9809096,0.012006283,0.24686597,6.450052e-05,0.12150014,0.00011535071,1.3089504,10.106263982102908,1.0627597976226213,1.0627597976226213,1.0
800000,0.9880295,0.0098972665,0.24290434,6.1495986e-05,0.120498635,0.0001104433,1.2993758,9.816017316017316,1.0688420126428304,1.0688420126428304,1.0
810000,0.9846125,0.013099642,0.24749011,5.847854e-05,0.11949283,0.00010551481,1.2936429,10.441340782122905,1.0676588843926504,1.0676588843926504,1.0
820000,0.99166757,0.011260751,0.2399182,5.5499633e-05,0.11849985,0.000100649275,1.287966,9.931404072883172,1.072993583895282,1.072993583895282,1.0
830000,0.9788696,0.019737413,0.24423002,5.2496012e-05,0.117498636,9.5743344e-05,1.281588,9.122340425531915,1.0512619513014878,1.0512619513014878,1.0
840000,0.95161384,0.025644055,0.2444276,4.9519756e-05,0.11650656,9.088214e-05,1.2767143,10.693995381062356,1.036463721570247,1.036463721570247,1.0
850000,0.9682904,0.021505084,0.25189975,4.646492e-05,0.11548829,8.589256e-05,1.2751527,9.328142380422692,1.0490909305330762,1.0490909305330762,1.0
860000,0.9718899,0.017200505,0.23847118,4.347917e-05,0.114493005,8.101582e-05,1.2745662,10.325555555555555,1.0564444656814966,1.0564444656814966,1.0
870000,0.975212,0.018633535,0.24874964,4.048944e-05,0.11349646,7.613261e-05,1.2691648,10.514029180695847,1.0565769010788932,1.0565769010788932,1.0
880000,0.9858231,0.011478519,0.23809847,3.748331e-05,0.11249442,7.1222596e-05,1.2616386,9.811111111111112,1.0706104543184103,1.0706104543184103,1.0
890000,0.97245806,0.01856493,0.24861933,3.4510333e-05,0.1115034,6.636672e-05,1.257119,10.122334455667788,1.0650559500197336,1.0650559500197336,1.0
900000,0.9824544,0.012874339,0.24049921,3.1487278e-05,0.11049573,6.142908e-05,1.2538959,10.698030634573303,1.0681004584990605,1.0681004584990605,1.0
910000,0.9888547,0.012283701,0.24471278,2.8491257e-05,0.10949707,5.6535566e-05,1.2512528,9.580366774541531,1.0738187921117939,1.0738187921117939,1.0
920000,0.9751831,0.015191642,0.23869999,2.5484507e-05,0.1084948,5.162454e-05,1.2480015,9.55119825708061,1.0670915245725763,1.0670915245725763,1.0
930000,0.9761671,0.014139722,0.24450426,2.2488352e-05,0.10749608,4.673082e-05,1.2449611,10.366213151927438,1.0713431370669544,1.0713431370669544,1.0
940000,0.9779835,0.015268876,0.2427004,1.946795e-05,0.106489286,4.17975e-05,1.2442976,9.849462365591398,1.0598276074963686,1.0598276074963686,1.0
950000,0.9725885,0.017410995,0.24508978,1.6474169e-05,0.10549136,3.690765e-05,1.2440187,9.471264367816092,1.0545322457928668,1.0545322457928668,1.0
960000,0.9902074,0.0118577955,0.24636798,1.34927795e-05,0.10449756,3.203805e-05,1.242314,9.119246861924687,1.0738140235877864,1.0738140235877864,1.0
970000,0.9879144,0.011384436,0.24480829,1.0483766e-05,0.103494555,2.7123326e-05,1.2407548,9.598516949152541,1.073726337273654,1.073726337273654,1.0
980000,0.9898673,0.0077493605,0.24095392,7.5021276e-06,0.10250068,2.2253313e-05,1.2405982,9.95253164556962,1.078630595206977,1.078630595206977,1.0
990000,0.9893536,0.0087304395,0.24805959,4.491328e-06,0.101497084,1.7335675e-05,1.2400091,9.171458998935037,1.0782534828006871,1.0782534828006871,1.0
1000000,0.9903058,0.010108299,0.2426276,1.4868211e-06,0.10049558,1.24283115e-05,1.239823,9.81578947368421,1.0763380498900799,1.0763380498900799,1.0
